site,lat,lon,detections,days_detected,mean_frp
21.8_83.88,21.79825214285714,83.88389696428571,56,56,1.3855357142857143
21.8_83.89,21.800121923076922,83.88650438461538,130,118,1.3748461538461538
21.8_83.99,21.79576156626506,83.98902240963855,83,80,1.0881927710843373
21.8_85.56,21.80312,85.56493,1,1,0.67
21.8_85.57,21.80076,85.56627666666667,6,6,0.6316666666666667
21.91_72.68,21.90994,72.68173,1,1,1.57
21.91_72.75,21.906929444444444,72.75397777777778,18,17,0.9677777777777778
21.91_72.76,21.906346199999998,72.7569832,50,45,1.2434
21.91_83.35,21.914546829268293,83.3535956097561,41,41,1.0985365853658537
21.91_83.36,21.91442,83.3552425,4,4,0.9750000000000001
21.92_83.33,21.92441,83.334705,2,2,2.25
21.92_83.34,21.924155053380783,83.33977955516013,562,456,2.877455516014235
21.92_83.35,21.921059502671596,83.35081950678175,4866,1289,3.382478421701603
21.92_83.36,21.919543363636365,83.35565463636362,110,92,2.4533636363636364
21.92_85.22,21.92426548387097,85.22285935483872,31,26,1.533548387096774
21.93_83.33,21.92621625,83.33488249999999,8,8,3.68125
21.93_83.34,21.92732855967078,83.33871977366256,486,371,2.8724279835390947
21.93_83.35,21.926527157894736,83.34946347368421,190,168,2.0477368421052633
21.93_83.36,21.92607,83.35593,1,1,2.23
21.93_85.22,21.930249994815966,85.22097669777087,1929,1043,1.3940072576464488
21.93_85.23,21.93012818181818,85.22551,11,11,1.2745454545454544
21.94_83.5,21.94276,83.49826,1,1,0.38
21.97_85.31,21.968505224586288,85.31340283687943,423,384,0.7959101654846336
21.97_85.32,21.96830368421053,85.31550561403509,114,109,0.7560526315789473
21.98_83.23,21.98373189081225,83.23237671105193,751,655,1.7694141145139812
21.98_83.24,21.980605496183205,83.23921938931298,131,120,1.5121374045801528
21.99_83.23,21.98603976277372,83.2325624270073,548,499,1.610748175182482
21.99_83.24,21.985923461538462,83.23541653846154,26,26,1.426153846153846
21.99_83.36,21.98563,83.36494,1,1,0.38
