site,lat,lon,cluster,days_detected
20.97_85.18,20.96871159090909,85.17719688087774,103,737
20.97_85.19,20.96557,85.18951019047618,103,98
20.97_86.0,20.971346064572426,86.00302264397907,104,771
20.97_86.01,20.968221694537345,86.0109593199554,104,908
20.97_86.02,20.96843501305483,86.01666347258485,104,318
20.97_86.05,20.96563975609756,86.05002170731707,102,38
20.98_85.12,20.98324,85.12495,103,1
20.98_85.13,20.978682677484787,85.13191710953346,103,560
20.98_85.14,20.9782194044665,85.13830107526883,103,660
20.98_85.15,20.977945385416668,85.1470498125,103,707
20.98_85.16,20.976168095238094,85.16453666666666,103,21
20.98_85.17,20.97621192037471,85.16887761124121,103,355
20.98_85.18,20.97549,85.175225,103,2
20.98_86.0,20.975881940298507,86.00437597014925,104,65
20.98_86.01,20.97584282722513,86.00634000000001,104,181
20.99_85.13,20.986061222222222,85.1287588888889,103,75
20.99_85.14,20.985226666666666,85.13709999999999,103,6
20.99_86.01,20.99451,86.01335407407407,105,27
20.99_86.02,20.994381666666666,86.0159,105,6
21.06_85.03,21.06493,85.03486,106,1
21.06_85.04,21.06482,85.03864,106,1
21.07_85.03,21.07200948979592,85.03423857142856,106,87
21.07_85.04,21.072926771653545,85.04066030371203,106,630
21.07_85.05,21.07429527777778,85.0454113888889,106,36
21.08_85.03,21.07870249435666,85.03338021444695,106,642
21.08_85.04,21.078153528230867,85.03971003011291,106,1172
21.08_85.05,21.07690278409091,85.04547085227273,106,159
21.09_72.65,21.09233770642202,72.65285036697247,107,82
21.09_72.66,21.0912,72.65593,107,1
21.0_86.01,20.997927999999998,86.01260752173914,105,166
21.0_86.02,20.9980312,86.0184236,105,81
21.0_86.03,21.000489125,86.026343,105,70
21.11_72.63,21.10853727482679,72.63174076597383,107,989
21.11_72.64,21.108200310928215,72.6402266438043,107,1088
21.11_72.65,21.106924621276594,72.64705070638298,107,1288
21.15_72.73,21.153014499999998,72.73376316666666,108,57
21.15_72.74,21.152937495183046,72.73818857418112,108,350
21.16_72.73,21.15598303030303,72.73360424242424,108,31
21.16_72.74,21.155742147239263,72.73811386503068,108,126
21.18_81.37,21.17941,81.3745,109,1
21.18_81.38,21.181837282608697,81.38164992753623,109,241
21.18_81.39,21.178654555555553,81.38712466666667,109,86
21.19_81.2,21.190139659090907,81.19895727272727,110,87
21.19_81.21,21.188818333333334,81.20992833333334,110,6
21.19_81.38,21.18528125,81.382075,109,8
21.19_81.39,21.189416717123933,81.39106190160832,109,716
21.19_81.4,21.19399775,81.39679325,109,38
21.19_81.41,21.19341638095238,81.41412628571427,111,98
21.19_81.42,21.193471195121948,81.4171637317073,111,323
21.1_72.63,21.102604418960244,72.63329749235474,107,482
21.1_72.64,21.102913510583377,72.63909119256583,107,922
21.1_72.65,21.103414789644013,72.64760368932039,107,993
21.1_72.66,21.0962125,72.65621250000001,107,4
21.23_79.63,21.233116866267466,79.62973399201597,112,425
21.24_79.22,21.24409319018405,79.22328239263804,113,155
21.24_79.23,21.242520975609757,79.22880951219513,113,77
21.24_79.24,21.2396,79.23547,113,3
21.24_79.63,21.235483898305084,79.63059338983051,112,56
21.24_81.38,21.239736999999998,81.384713,114,9
21.24_81.39,21.2393316,81.3864104,114,73
21.24_81.77,21.244369523809524,81.77060666666667,115,19
21.25_79.22,21.246757585551332,79.22301847908744,113,436
21.25_79.23,21.24652212598425,79.22566748031497,113,124
21.25_81.77,21.2459342,81.770337,115,50
21.26_79.18,21.26479,79.18113,116,1
21.27_79.18,21.268025806451615,79.18121290322581,116,29
21.2_81.39,21.1960665,81.39287325000001,109,38
21.2_81.4,21.19708603773585,81.3974203773585,109,93
21.2_81.41,21.19660318181818,81.41394761363637,111,80
21.2_81.42,21.19659743315508,81.41712764705882,111,306
21.31_81.58,21.307074999999998,81.584625,117,2
21.31_81.59,21.310021312883435,81.5910089202454,117,701
21.32_81.58,21.3242475,81.5786875,118,8
21.33_81.58,21.325746000000002,81.578646,118,5
21.34_81.66,21.344327272727273,81.66412159090909,119,44
21.34_81.67,21.342595566037737,81.6701284591195,119,263
21.35_81.66,21.34739894514768,81.66397801687764,119,209
21.35_81.67,21.347122414965988,81.66622887755102,119,263
21.36_81.64,21.36432,81.64455086956522,120,23
21.36_81.65,21.363673092783507,81.65058103092784,120,231
21.36_81.66,21.36362,81.65534,120,1
21.36_81.67,21.36211,81.67405000000001,121,3
21.36_81.68,21.364375229357798,81.67840931192661,121,199
21.36_81.69,21.364328333333333,81.68538833333334,121,6
21.37_81.64,21.372531441860463,81.64170144186048,120,183
21.37_81.65,21.36589310679612,81.64963058252427,120,102
21.37_81.66,21.365524999999998,81.65515500000001,120,2
21.37_81.68,21.36964861253854,81.6798552004111,121,679
21.37_81.69,21.37146230769231,81.68585253846155,121,128
21.38_81.64,21.376856422764227,81.64115787601627,120,731
21.38_81.65,21.378748588235293,81.64824423529411,120,80
